completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
,Bangsar,Condominium,3.0,1.0,3.0,1700,Partially Furnished,yes
2016.0,Besi,Service Residence,3.0,2.0,2.0,876,Fully Furnished,yes
2020.0,Jalil,Condominium,3.0,2.0,2.0,1226,Fully Furnished,yes
2012.0,Kiara,Condominium,2.0,1.0,2.0,900,Fully Furnished,yes
2021.0,Cheras,Service Residence,2.0,2.0,2.0,650,Not Furnished,yes
,Jalil,Apartment,3.0,1.0,2.0,800,Partially Furnished,yes
,Maju,Flat,2.0,,1.0,550,Not Furnished,
,Ismail,Condominium,4.0,1.0,3.0,2174,Fully Furnished,yes
,Keramat,Condominium,3.0,1.0,1.0,807,Fully Furnished,no
2017.0,Road,Service Residence,2.0,1.0,2.0,798,Fully Furnished,yes
,Maju,Service Residence,1.0,1.0,1.0,553,Partially Furnished,
2021.0,Cheras,Condominium,2.0,1.0,2.0,650,Partially Furnished,
2021.0,ParkCity,Condominium,2.0,2.0,2.0,1001,Partially Furnished,no
2020.0,Keramat,Condominium,3.0,2.0,2.0,926,Partially Furnished,yes
2021.0,ParkCity,Condominium,3.0,,2.0,1346,Partially Furnished,yes
2010.0,Ipoh,Condominium,3.0,1.0,2.0,1047,Partially Furnished,
2007.0,Kepong,Apartment,3.0,,2.0,1010,Partially Furnished,no
,Jalil,Apartment,3.0,,2.0,1200,Fully Furnished,
2015.0,South,Condominium,3.0,2.0,3.0,1390,Fully Furnished,
2017.0,Road,Service Residence,2.0,2.0,1.0,730,Partially Furnished,yes
,Road,Apartment,3.0,,2.0,800,Partially Furnished,yes
,Kepong,Apartment,3.0,,2.0,650,Partially Furnished,yes
,KLCC,Flat,3.0,1.0,2.0,800,Partially Furnished,yes
,Cheras,Apartment,3.0,,2.0,850,Fully Furnished,
,Sentul,Apartment,3.0,,2.0,1000,Fully Furnished,
,South,Apartment,2.0,,2.0,650,Fully Furnished,yes
2013.0,Hilir,Service Residence,3.0,1.0,2.0,1528,Fully Furnished,yes
,Road,Apartment,3.0,1.0,2.0,829,Partially Furnished,
2020.0,Keramat,Condominium,3.0,2.0,2.0,926,Partially Furnished,no
,Kepong,Service Residence,3.0,1.0,2.0,851,Fully Furnished,yes
2017.0,Ipoh,Condominium,4.0,,2.0,1332,Fully Furnished,
2021.0,Kepong,Service Residence,3.0,2.0,2.0,1009,Partially Furnished,yes
,Hartamas,Service Residence,1.0,,1.0,410,Fully Furnished,no
2010.0,Cheras,Condominium,3.0,1.0,2.0,1100,Partially Furnished,yes
,Cheras,Condominium,3.0,1.0,2.0,865,Partially Furnished,no
,Setapak,Apartment,3.0,,2.0,910,Fully Furnished,yes
,Ipoh,Apartment,3.0,,2.0,938,Partially Furnished,yes
2016.0,Petaling,Service Residence,3.0,2.0,3.0,914,Fully Furnished,
,Setapak,Condominium,3.0,1.0,2.0,1200,Partially Furnished,no
,South,Apartment,3.0,,2.0,1200,Partially Furnished,yes
2016.0,Petaling,Service Residence,2.0,1.0,2.0,709,Partially Furnished,no
,Ampang,Condominium,2.0,1.0,2.0,1145,Partially Furnished,no
,Bintang,Condominium,3.0,2.0,3.0,1022,Partially Furnished,yes
2018.0,Kepong,Condominium,4.0,2.0,2.0,1200,Partially Furnished,no
,Besi,Condominium,2.0,1.0,1.0,590,Not Furnished,no
,Road,Condominium,3.0,1.0,2.0,1200,Partially Furnished,no
,KLCC,Condominium,2.0,,2.0,706,Fully Furnished,
,Cheras,Condominium,4.0,,3.0,1632,Partially Furnished,yes
,Cheras,Apartment,3.0,1.0,2.0,935,Not Furnished,yes
2012.0,Kiara,Service Residence,2.0,1.0,2.0,886,Fully Furnished,yes
2014.0,Sentul,Condominium,3.0,1.0,2.0,1100,Fully Furnished,yes
2023.0,Ipoh,Service Residence,2.0,1.0,1.0,652,Not Furnished,
,Jalil,Service Residence,1.0,,1.0,385,Fully Furnished,yes
,Menjalara,Condominium,3.0,1.0,2.0,1076,Fully Furnished,
2015.0,Ampang,Condominium,2.0,,2.0,850,Fully Furnished,no
1998.0,Kiara,Condominium,3.0,1.0,2.0,1250,Fully Furnished,yes
2000.0,Desa,Condominium,3.0,1.0,2.0,938,Partially Furnished,yes
2017.0,Maju,Apartment,3.0,1.0,2.0,770,Fully Furnished,yes
2019.0,Road,Condominium,2.0,1.0,2.0,730,Fully Furnished,
2015.0,Cheras,Condominium,3.0,1.0,2.0,1140,Partially Furnished,
2020.0,Keramat,Apartment,3.0,2.0,2.0,1065,Partially Furnished,no
2008.0,Ipoh,Condominium,3.0,2.0,2.0,1015,Fully Furnished,
,Cheras,Apartment,2.0,1.0,1.0,657,Partially Furnished,yes
2009.0,Dutamas,Condominium,3.0,1.0,2.0,1000,Fully Furnished,
2007.0,Cheras,Condominium,3.0,3.0,2.0,810,Partially Furnished,no
,Road,Apartment,3.0,1.0,2.0,1000,Partially Furnished,yes
2014.0,Sentul,Condominium,3.0,1.0,2.0,1082,Partially Furnished,yes
2019.0,Setapak,Apartment,3.0,2.0,2.0,928,Fully Furnished,yes
,Cheras,Apartment,3.0,1.0,2.0,820,Not Furnished,no
2020.0,Kepong,Service Residence,4.0,2.0,2.0,932,Partially Furnished,no
1993.0,City,Condominium,3.0,1.0,2.0,1450,Partially Furnished,yes
2018.0,Ampang,Service Residence,1.0,,1.0,684,Fully Furnished,yes
2023.0,Cheras,Condominium,4.0,,2.0,1030,Fully Furnished,yes
2013.0,Melawati,Service Residence,3.0,1.0,2.0,980,Partially Furnished,no
2020.0,Road,Condominium,4.0,,3.0,1691,Fully Furnished,no
2015.0,Cheras,Service Residence,3.0,2.0,2.0,1166,Fully Furnished,yes
,Cheras,Condominium,3.0,2.0,2.0,1003,Partially Furnished,yes
,ParkCity,Condominium,3.0,2.0,3.0,1400,Fully Furnished,
2012.0,Ismail,Service Residence,2.0,1.0,1.0,1500,Fully Furnished,yes
2019.0,Sentul,Condominium,3.0,1.0,2.0,800,Partially Furnished,no
2013.0,Melawati,Service Residence,3.0,1.0,2.0,1007,Partially Furnished,yes
1996.0,Sentul,Condominium,3.0,1.0,2.0,976,Not Furnished,no
1993.0,City,Condominium,3.0,1.0,2.0,1100,Fully Furnished,yes
,Jalil,Apartment,3.0,1.0,2.0,1100,Partially Furnished,
1997.0,Desa,Condominium,3.0,1.0,2.0,915,Partially Furnished,no
2013.0,Titiwangsa,Service Residence,2.0,1.0,1.0,737,Fully Furnished,yes
,Besi,Apartment,3.0,1.0,2.0,901,Not Furnished,no
2008.0,Ipoh,Condominium,3.0,2.0,2.0,1030,Fully Furnished,yes
,Kepong,Apartment,3.0,1.0,2.0,904,Not Furnished,
2017.0,Road,Condominium,3.0,2.0,2.0,909,Fully Furnished,
2007.0,Kuching,Service Residence,3.0,,2.0,1400,Fully Furnished,no
,Cheras,Apartment,3.0,,2.0,650,Not Furnished,
2019.0,Gombak,Service Residence,3.0,1.0,2.0,842,Fully Furnished,no
2015.0,Ampang,Condominium,4.0,2.0,3.0,1264,Fully Furnished,yes
,Cheras,Condominium,3.0,2.0,2.0,1003,Fully Furnished,yes
2020.0,Keramat,Condominium,3.0,,2.0,1065,Partially Furnished,no
2019.0,Kepong,Condominium,3.0,2.0,2.0,1100,Fully Furnished,
,Kiara,Duplex,2.0,1.0,1.0,821,Fully Furnished,yes
2022.0,Setapak,Service Residence,4.0,2.0,2.0,1100,Fully Furnished,
2018.0,Jalil,Apartment,3.0,1.0,2.0,1200,Partially Furnished,yes
2007.0,Kepong,Apartment,3.0,1.0,2.0,1010,Partially Furnished,yes
,Jalil,Apartment,4.0,1.0,2.0,1434,Fully Furnished,
2020.0,Sentul,Service Residence,3.0,1.0,2.0,850,Partially Furnished,yes
2010.0,Maju,Condominium,3.0,1.0,3.0,1267,Fully Furnished,yes
1988.0,Desa,Condominium,3.0,2.0,2.0,1200,Fully Furnished,
2020.0,Keramat,Condominium,3.0,2.0,2.0,926,Partially Furnished,yes
2019.0,Setapak,Condominium,4.0,2.0,3.0,1335,Partially Furnished,no
2015.0,Cheras,Condominium,5.0,,2.0,1364,Fully Furnished,no
,Brickfields,Flat,2.0,,1.0,650,Not Furnished,yes
2015.0,Cheras,Condominium,4.0,1.0,2.0,1145,Partially Furnished,yes
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Not Furnished,no
,Desa,Condominium,3.0,2.0,2.0,850,Partially Furnished,no
,Kepong,Apartment,3.0,1.0,2.0,850,Partially Furnished,
2017.0,Jalil,Condominium,4.0,2.0,3.0,1500,Partially Furnished,yes
2021.0,Jalil,Apartment,3.0,1.0,2.0,850,Partially Furnished,
2021.0,Cheras,Condominium,3.0,2.0,2.0,990,Fully Furnished,
2008.0,Ampang,Condominium,2.0,1.0,2.0,1072,Fully Furnished,no
2020.0,Maju,Condominium,3.0,,2.0,1219,Fully Furnished,yes
