ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
100216941,Mentari Condominium,,RM 1 700 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1025 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT"
100216913,Pertiwi Indah,,RM 1 700 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1100 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine"
100216909,Ketumbar Heights,2010.0,RM 1 350 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,755 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine"
100216875,Setia SKY Residences,2011.0,RM 2 700 per month,Kuala Lumpur - KLCC,Condominium,3,,2.0,1055 sq.ft.,Partially Furnished,"Playground, Gymnasium, Barbeque area, Parking, Club house, Security, Minimart, Swimming Pool",
100216546,Residence 8,2013.0,RM 1 150 per month,Kuala Lumpur - Old Klang Road,Service Residence,1,,1.0,350 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Barbeque area, Multipurpose hall, Security, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100216582,Enau Court,2000.0,RM 3 600 per month,Kuala Lumpur - Keramat,Condominium,3,1.0,2.0,1700 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Security, Tennis Court, Sauna, Playground, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100216567,Pangsapuri Desa Tenaga,,RM 1 000 per month,Kuala Lumpur - Old Klang Road,Apartment,3,,2.0,800 sq.ft.,Partially Furnished,"Lift, Security, Parking, Barbeque area, Jogging Track, Playground, Minimart","Cooking Allowed, Near KTM/LRT"
100216681,Avenue Court,1993.0,RM 1 200 per month,Kuala Lumpur - Old Klang Road,Apartment,3,1.0,2.0,950 sq.ft.,Not Furnished,"Swimming Pool, Minimart, Jogging Track, Playground, Gymnasium, Parking, Security, Lift","Cooking Allowed, Near KTM/LRT"
98953353,Platinum Splendor Residensi Semarak,2020.0,RM 1 800 per month,Kuala Lumpur - Keramat,Condominium,3,2.0,2.0,926 sq.ft.,Partially Furnished,"Parking, Sauna, Minimart, Gymnasium, Squash Court, Security, Playground, Tennis Court, Lift, Swimming Pool","Cooking Allowed, Near KTM/LRT, Washing Machine"
100216282,6 CapSquare,2013.0,RM 3 400 per month,Kuala Lumpur - Ampang,Condominium,3,2.0,4.0,1637 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Security, Swimming Pool, Playground, Gymnasium, Squash Court, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
99890362,Angkasa Condominiums,2005.0,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,3,,2.0,920 sq.ft.,Fully Furnished,"Minimart, Tennis Court, Playground, Swimming Pool, Parking, Security, Gymnasium","Air-Cond, Washing Machine"
99856773,Angkasa Condominiums,2005.0,RM 1 700 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,920 sq.ft.,Fully Furnished,"Gymnasium, Tennis Court, Playground, Minimart, Swimming Pool, Parking, Security",Air-Cond
99928534,Maxim Residences,2017.0,RM 1 000 per month,Kuala Lumpur - Cheras,Service Residence,1,1.0,1.0,619 sq.ft.,Not Furnished,"Swimming Pool, Parking, Security, Gymnasium",
100216019,Apartment Dahlia (Setapak),,RM 1 300 per month,Kuala Lumpur - Setapak,Apartment,3,,2.0,862 sq.ft.,Partially Furnished,"Security, Jogging Track, Parking, Minimart",
100216138,8 Kinrara,2016.0,RM 1 800 per month,Kuala Lumpur - Puchong,Service Residence,3,2.0,2.0,1096 sq.ft.,Not Furnished,"Jogging Track, Playground, Gymnasium, Security, Swimming Pool",
100216117,Pangsapuri Lestari,,RM 1 300 per month,Kuala Lumpur - Cheras,Apartment,3,,2.0,826 sq.ft.,Partially Furnished,"Security, Playground, Swimming Pool, Minimart, Multipurpose hall",
100216033,Flat Pandan Jaya,,RM 900 per month,Kuala Lumpur - Pandan Jaya,Flat,2,1.0,1.0,800 sq.ft.,Partially Furnished,Parking,Air-Cond
100215972,"Fera Residence @ The Quartz, Wangsa Maju",,RM 2 300 per month,Kuala Lumpur - Wangsa Maju,Service Residence,3,,2.0,827 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215970,Pangsapuri Teratak Muhibbah 2,,RM 950 per month,Kuala Lumpur - Taman Desa,Apartment,3,,2.0,657 sq.ft.,Partially Furnished,"Jogging Track, Minimart, Lift, Swimming Pool","Cooking Allowed, Near KTM/LRT"
100215749,Legasi Kampong Bharu,2020.0,RM 3 000 per month,Kuala Lumpur - KL City,Service Residence,3,,2.0,950 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215746,Arte Mont Kiara,,RM 2 100 per month,Kuala Lumpur - Mont Kiara,Service Residence,1,,2.0,494 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
99825399,Sutera Maya,2013.0,RM 1 700 per month,Kuala Lumpur - Old Klang Road,Condominium,4,2.0,2.0,1341 sq.ft.,Partially Furnished,"Security, Gymnasium, Jogging Track, Multipurpose hall, Parking, Playground, Swimming Pool",
100215871,M Centura,2021.0,RM 1 200 per month,Kuala Lumpur - Sentul,Service Residence,2,1.0,1.0,646 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215707,Rampai Court,,RM 900 per month,Kuala Lumpur - Wangsa Maju,Apartment,2,,1.0,600 sq.ft.,Not Furnished,"Parking, Barbeque area, Security, Playground",
100215813,Rampai Court,,RM 1 000 per month,Kuala Lumpur - Wangsa Maju,Apartment,2,,1.0,600 sq.ft.,Not Furnished,"Parking, Barbeque area, Security, Playground",
99911779,Mewah Court Cheras (Cheras Mewah),,RM 900 per month,Kuala Lumpur - Cheras,Apartment,3,,2.0,888 sq.ft.,Partially Furnished,"Jogging Track, Lift, Minimart, Playground, Security, Parking",
95530905,Platinum Splendor Residensi Semarak,2020.0,RM 1 900 per month,Kuala Lumpur - Keramat,Condominium,4,2.0,2.0,1065 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215629,Vivo Soho Suites,,RM 650 per month,Kuala Lumpur - Old Klang Road,Condominium,4,,1.0,800 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215616,1 Sentul,2011.0,RM 1 400 per month,Kuala Lumpur - Sentul,Condominium,3,,2.0,1081 sq.ft.,Not Furnished,"Jogging Track, Tennis Court, Club house, Parking, Security, Swimming Pool, Minimart, Multipurpose hall, Playground, Gymnasium, Sauna",
100215584,M Vertica,2023.0,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,850 sq.ft.,Fully Furnished,"Tennis Court, Lift, Playground, Barbeque area, Security, Parking, Jogging Track, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100215358,OUG Parklane,,RM 1 199 per month,Kuala Lumpur - OUG,Service Residence,3,,2.0,950 sq.ft.,Partially Furnished,"Minimart, Security, Playground, Sauna, Swimming Pool, Squash Court, Parking",
100215295,Platinum OUG Residence,2021.0,RM 1 200 per month,Kuala Lumpur - Kuchai Lama,Condominium,3,1.0,2.0,1200 sq.ft.,Partially Furnished,"Security, Playground, Lift, Gymnasium, Parking",Cooking Allowed
100215320,Arcoris,2012.0,RM 5 000 per month,Kuala Lumpur - Mont Kiara,Condominium,2,1.0,2.0,1400 sq.ft.,Partially Furnished,,
100215551,Endah Villa,,RM 1 700 per month,Kuala Lumpur - Sri Petaling,Condominium,2,1.0,2.0,1129 sq.ft.,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Jogging Track, Parking, Security, Minimart, Tennis Court, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100214977,Majestic Maxim,2021.0,RM 1 200 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,670 sq.ft.,Partially Furnished,"Playground, Parking, Security, Gymnasium, Jogging Track, Swimming Pool, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT"
100012159,Vivo Residential @ 9 Seputeh,2018.0,RM 1 600 per month,Kuala Lumpur - Seputeh,Service Residence,1,,1.0,505 sq.ft.,Fully Furnished,"Jogging Track, Sauna, Parking, Security, Barbeque area, Gymnasium, Tennis Court, Multipurpose hall, Playground, Swimming Pool, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine"
99914348,Trinity Aquata,2019.0,RM 1 900 per month,Kuala Lumpur - Sungai Besi,Condominium,3,1.0,2.0,839 sq.ft.,Fully Furnished,"Gymnasium, Parking, Security, Swimming Pool, Jogging Track, Lift, Playground, Sauna, Minimart","Air-Cond, Cooking Allowed, Washing Machine"
99660513,Vista Amani,,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1101 sq.ft.,Not Furnished,"Swimming Pool, Minimart, Playground, Security, Gymnasium, Parking, Lift",
99660515,Vista Amani,,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1101 sq.ft.,Not Furnished,"Swimming Pool, Minimart, Playground, Security, Gymnasium, Parking, Lift",
100215127,Royal Regent (Sri Putramas 3),2013.0,RM 2 000 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,2.0,2.0,1590 sq.ft.,Partially Furnished,"Minimart, Playground, Sauna, Swimming Pool, Gymnasium, Tennis Court",
100214883,Desa Green,1997.0,RM 1 700 per month,Kuala Lumpur - Taman Desa,Service Residence,3,1.0,2.0,935 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100214930,Ativo Suites @ Damansara Avenue,2021.0,RM 2 600 per month,Kuala Lumpur - Sri Damansara,Service Residence,1,1.0,1.0,607 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100215095,OHako,2019.0,RM 2 300 per month,Kuala Lumpur - Puchong,Service Residence,3,2.0,2.0,1002 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Playground, Lift, Minimart, Tennis Court, Security, Squash Court, Barbeque area, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100214628,Marc Residence,2007.0,RM 2 300 per month,Kuala Lumpur - KLCC,Condominium,1,,1.0,500 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Swimming Pool, Sauna, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine"
100214680,Flat Taman Melati,,RM 1 000 per month,Kuala Lumpur - Setapak,Flat,2,,1.0,500 sq.ft.,Not Furnished,,"Cooking Allowed, Near KTM/LRT"
100214847,Pudu Impian 1,,RM 910 per month,Kuala Lumpur - Cheras,Flat,3,,2.0,667 sq.ft.,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT"
100024959,Desa Green,1997.0,RM 1 750 per month,Kuala Lumpur - Taman Desa,Service Residence,2,1.0,2.0,715 sq.ft.,Fully Furnished,"Parking, Playground, Security, Swimming Pool, Gymnasium, Sauna, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine"
