Wilayah,Propinsi,UN SMP,UN SMA IPA,UN SMA IPS,Tahun
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,62.76,41.83,40.65,2017
Kota Manado,Sulawesi Utara,47.0,50.73,42.56,2017
Kota Bitung,Sulawesi Utara,42.65,44.98,39.93,2017
Kota Tomohon,Sulawesi Utara,62.93,56.09,50.12,2017
Kota Kotamobagu,Sulawesi Utara,59.12,44.71,40.12,2017
Prov. Sulawesi Tengah,Sulawesi Tengah,52.08,46.78,43.43,2017
Kab. Banggai Kepulauan,Sulawesi Tengah,64.78,55.43,55.2,2017
Kab. Donggala,Sulawesi Tengah,57.39,39.06,38.03,2017
Kab. Poso,Sulawesi Tengah,51.87,49.66,47.22,2017
Kab. Banggai,Sulawesi Tengah,54.79,51.34,46.09,2017
Kab. Buol,Sulawesi Tengah,43.34,38.7,37.09,2017
Kab. Tolitoli,Sulawesi Tengah,51.44,44.27,41.87,2017
Kab. Morowali,Sulawesi Tengah,54.09,50.29,50.61,2017
Kab. Parigi Moutong,Sulawesi Tengah,46.87,44.95,41.42,2017
Kab. Tojo Una Una,Sulawesi Tengah,48.78,43.72,43.4,2017
Kab. Sigi,Sulawesi Tengah,46.67,38.44,38.32,2017
Kab. Banggai Laut,Sulawesi Tengah,61.14,48.75,52.04,2017
Kab. Morowali Utara,Sulawesi Tengah,51.33,44.7,43.51,2017
Kota Palu,Sulawesi Tengah,53.57,51.51,42.77,2017
Prov. Sulawesi Selatan,Sulawesi Selatan,54.71,51.9,45.86,2017
Kab. Maros,Sulawesi Selatan,54.79,51.5,41.12,2017
Kab. Pangkajene Kepulauan,Sulawesi Selatan,52.14,49.67,46.48,2017
Kab. Gowa,Sulawesi Selatan,49.04,44.5,38.31,2017
Kab. Takalar,Sulawesi Selatan,48.43,41.88,40.36,2017
Kab. Jeneponto,Sulawesi Selatan,49.86,44.35,43.48,2017
Kab. Barru,Sulawesi Selatan,51.05,48.07,40.46,2017
Kab. Bone,Sulawesi Selatan,76.49,70.5,65.07,2017
Kab. Wajo,Sulawesi Selatan,60.89,53.99,48.4,2017
Kab. Soppeng,Sulawesi Selatan,62.69,59.32,48.91,2017
Kab. Bantaeng,Sulawesi Selatan,57.84,49.16,44.87,2017
Kab. Bulukumba,Sulawesi Selatan,67.81,56.11,45.41,2017
Kab. Sinjai,Sulawesi Selatan,56.31,62.83,45.83,2017
Kab. Kepulauan Selayar,Sulawesi Selatan,65.62,53.69,49.37,2017
Kab. Pinrang,Sulawesi Selatan,52.13,50.88,43.83,2017
Kab. Sidenreng Rappang,Sulawesi Selatan,62.0,59.08,46.47,2017
Kab. Enrekang,Sulawesi Selatan,52.46,65.69,51.9,2017
Kab. Luwu,Sulawesi Selatan,46.61,42.43,37.64,2017
Kab. Tana Toraja,Sulawesi Selatan,46.56,48.88,47.04,2017
Kab. Luwu Utara,Sulawesi Selatan,54.61,45.78,44.37,2017
Kab. Luwu Timur,Sulawesi Selatan,55.84,54.14,41.77,2017
Kab. Toraja Utara,Sulawesi Selatan,56.74,49.1,43.8,2017
Kota Makassar,Sulawesi Selatan,46.87,49.31,44.51,2017
Kota Parepare,Sulawesi Selatan,44.16,52.38,42.39,2017
Kota Palopo,Sulawesi Selatan,44.66,48.3,43.23,2017
Prov. Sulawesi Tenggara,Sulawesi Tenggara,55.63,63.86,53.34,2017
Kab. Konawe,Sulawesi Tenggara,56.14,61.15,52.34,2017
Kab. Muna,Sulawesi Tenggara,53.68,65.52,56.41,2017
Kab. Buton,Sulawesi Tenggara,53.6,62.29,47.33,2017
Kab. Kolaka,Sulawesi Tenggara,47.78,53.31,43.25,2017
Kab. Konawe Selatan,Sulawesi Tenggara,64.86,62.34,56.66,2017
Kab. Wakatobi,Sulawesi Tenggara,54.32,67.86,47.47,2017
Kab. Bombana,Sulawesi Tenggara,57.42,69.53,56.07,2017
Kab. Kolaka Utara,Sulawesi Tenggara,59.42,63.43,48.41,2017
Kab. Konawe Utara,Sulawesi Tenggara,58.87,56.43,56.74,2017
Kab. Buton Utara,Sulawesi Tenggara,71.83,73.49,68.88,2017
Kab. Kolaka Timur,Sulawesi Tenggara,58.98,66.08,58.95,2017
Kab. Konawe Kepulauan,Sulawesi Tenggara,66.23,67.03,65.23,2017
Kab. Muna Barat,Sulawesi Tenggara,62.0,64.01,62.36,2017
Kab. Buton Selatan,Sulawesi Tenggara,57.15,69.65,56.54,2017
Kab. Buton Tengah,Sulawesi Tenggara,59.12,62.06,53.0,2017
Kota Kendari,Sulawesi Tenggara,46.47,65.03,48.52,2017
Kota Baubau,Sulawesi Tenggara,46.83,66.29,49.51,2017
Prov. Maluku,Maluku,56.51,54.9,50.88,2017
Kab. Maluku Tengah,Maluku,65.23,58.84,56.9,2017
Kab. Maluku Tenggara,Maluku,44.14,35.26,34.45,2017
Kab. Buru,Maluku,56.69,65.73,65.04,2017
Kab. Maluku Tenggara Barat,Maluku,45.77,33.83,31.56,2017
Kab. Seram Bagian Barat,Maluku,65.11,58.5,59.07,2017
Kab. Seram Bagian Timur,Maluku,69.46,65.92,67.18,2017
Kab. Kepulauan Aru,Maluku,44.88,37.54,35.52,2017
Kab. Maluku Barat Daya,Maluku,49.8,42.51,46.16,2017
Kab. Buru Selatan,Maluku,61.68,59.89,57.94,2017
Kota Ambon,Maluku,48.45,58.04,46.22,2017
Kota Tual,Maluku,45.95,37.63,34.05,2017
Prov. Bali,Bali,53.01,59.99,50.04,2017
Kab. Buleleng,Bali,48.15,54.78,43.61,2017
Kab. Jembrana,Bali,49.21,55.01,46.2,2017
Kab. Tabanan,Bali,50.47,56.58,47.04,2017
Kab. Badung,Bali,53.43,58.25,52.78,2017
Kab. Gianyar,Bali,53.26,59.38,51.68,2017
Kab. Klungkung,Bali,49.9,65.12,52.0,2017
Kab. Bangli,Bali,47.4,50.0,43.69,2017
Kab. Karangasem,Bali,48.02,58.52,47.7,2017
Kota Denpasar,Bali,64.52,66.99,58.63,2017
Prov. Nusa Tenggara Barat,Nusa Tenggara Barat,50.5,43.41,40.86,2017
Kab. Lombok Barat,Nusa Tenggara Barat,51.44,45.19,43.17,2017
Kab. Lombok Tengah,Nusa Tenggara Barat,53.78,43.28,43.14,2017
Kab. Lombok Timur,Nusa Tenggara Barat,50.67,44.0,42.7,2017
Kab. Sumbawa,Nusa Tenggara Barat,45.28,46.96,42.95,2017
Kab. Dompu,Nusa Tenggara Barat,40.75,35.99,32.64,2017
Kab. Bima,Nusa Tenggara Barat,47.45,36.1,32.27,2017
Kab. Sumbawa Barat,Nusa Tenggara Barat,54.4,49.24,45.31,2017
Kab. Lombok Utara,Nusa Tenggara Barat,41.99,42.29,37.5,2017
Kota Mataram,Nusa Tenggara Barat,63.42,55.42,46.35,2017
Kota Bima,Nusa Tenggara Barat,40.59,40.08,35.91,2017
Prov. Nusa Tenggara Timur,Nusa Tenggara Timur,51.8,43.59,40.85,2017
Kab. Kupang,Nusa Tenggara Timur,43.76,41.41,39.56,2017
Kab. Timor Tengah Selatan,Nusa Tenggara Timur,54.97,49.71,50.23,2017
Kab. Timor Tengah Utara,Nusa Tenggara Timur,52.02,40.66,39.0,2017
Kab. Belu,Nusa Tenggara Timur,43.51,41.02,38.23,2017
Kab. Alor,Nusa Tenggara Timur,61.31,40.95,36.85,2017
Kab. Flores Timur,Nusa Tenggara Timur,46.91,43.73,41.39,2017
Kab. Sikka,Nusa Tenggara Timur,47.91,46.12,42.21,2017
Kab. Ende,Nusa Tenggara Timur,47.5,46.18,40.07,2017
Kab. Ngada,Nusa Tenggara Timur,47.64,47.18,44.65,2017
Kab. Manggarai,Nusa Tenggara Timur,55.96,47.22,42.62,2017
Kab. Sumba Timur,Nusa Tenggara Timur,42.49,40.01,36.19,2017
Kab. Sumba Barat,Nusa Tenggara Timur,43.4,38.84,35.48,2017
Kab. Lembata,Nusa Tenggara Timur,47.7,43.43,41.75,2017
Kab. Rote Ndao,Nusa Tenggara Timur,62.89,41.68,41.16,2017
Kab. Manggarai Barat,Nusa Tenggara Timur,61.8,48.14,48.47,2017
Kab. Nagekeo,Nusa Tenggara Timur,47.08,44.04,40.72,2017
Kab. Sumba Tengah,Nusa Tenggara Timur,54.51,35.41,32.22,2017
Kab. Sumba Barat Daya,Nusa Tenggara Timur,55.2,41.51,38.55,2017
Kab. Manggarai Timur,Nusa Tenggara Timur,61.07,49.15,50.67,2017
Kab. Sabu Raijua,Nusa Tenggara Timur,64.52,34.75,31.89,2017
Kab. Malaka,Nusa Tenggara Timur,51.81,33.01,32.42,2017
Kota Kupang,Nusa Tenggara Timur,47.39,44.69,39.07,2017
Prov. Papua,Papua,50.98,43.86,41.98,2017
Kab. Jayapura,Papua,42.52,38.13,33.52,2017
Kab. Biak Numfor,Papua,51.71,40.14,38.01,2017
Kab. Kepulauan Yapen,Papua,40.79,35.84,30.95,2017
Kab. Merauke,Papua,47.26,46.08,37.79,2017
Kab. Jayawijaya,Papua,66.71,55.91,55.47,2017
Kab. Nabire,Papua,45.32,41.93,36.96,2017
Kab. Paniai,Papua,73.54,51.0,50.24,2017
Kab. Puncak Jaya,Papua,44.63,31.6,35.58,2017
Kab. Mimika,Papua,46.32,40.25,40.05,2017
Kab. Boven Digoel,Papua,50.34,41.89,37.19,2017
Kab. Mappi,Papua,43.47,37.88,29.47,2017
Kab. Asmat,Papua,58.51,54.72,56.12,2017
Kab. Yahukimo,Papua,65.52,51.75,57.69,2017
Kab. Pegunungan Bintang,Papua,64.4,48.16,49.19,2017
Kab. Tolikara,Papua,67.86,59.08,63.03,2017
Kab. Sarmi,Papua,58.55,45.86,42.96,2017
Kab. Keerom,Papua,47.95,42.98,40.63,2017
Kab. Waropen,Papua,57.71,31.39,30.76,2017
Kab. Supiori,Papua,43.32,31.61,35.11,2017
Kab. Mamberamo Raya,Papua,62.11,44.88,57.08,2017
Kab. Nduga,Papua,65.17,0.0,62.34,2017
Kab. Lanny Jaya,Papua,66.2,55.05,53.11,2017
Kab. Mamberamo Tengah,Papua,73.06,68.9,71.52,2017
Kab. Yalimo,Papua,57.97,53.8,56.01,2017
kab. Puncak,Papua,67.48,52.11,64.09,2017
Kab. Dogiyai,Papua,52.36,60.29,61.41,2017
Kab. Deiyai,Papua,47.37,36.75,43.5,2017
Kab. Intan Jaya,Papua,71.57,58.05,60.7,2017
Kota Jayapura,Papua,43.94,46.97,40.08,2017
Prov. Bengkulu,Bengkulu,46.88,47.33,43.22,2017
Kab. Bengkulu Utara,Bengkulu,47.77,48.52,43.92,2017
Kab. Rejang Lebong,Bengkulu,46.07,49.21,47.43,2017
Kab. Bengkulu Selatan,Bengkulu,44.02,47.51,44.22,2017
Kab. Mukomuko,Bengkulu,45.26,44.62,41.16,2017
Kab. Kepahiang,Bengkulu,44.42,42.75,40.85,2017
Kab. Lebong,Bengkulu,42.24,45.42,39.77,2017
Kab. Kaur,Bengkulu,42.59,42.31,39.0,2017
Kab. Seluma,Bengkulu,42.21,35.91,35.55,2017
Kab. Bengkulu Tengah,Bengkulu,59.65,42.58,40.29,2017
Kota Bengkulu,Bengkulu,50.88,53.17,47.94,2017
Prov. Maluku Utara,Maluku Utara,54.7,46.7,45.05,2017
Kab. Pulau Taliabu,Maluku Utara,56.35,48.41,46.34,2017
Kab. Halmahera Tengah,Maluku Utara,57.0,50.02,52.8,2017
Kab. Halmahera Barat,Maluku Utara,54.58,43.48,41.72,2017
Kab. halmahera Utara,Maluku Utara,52.42,38.93,38.87,2017
Kab. Halmahera Selatan,Maluku Utara,54.32,46.92,43.97,2017
Kab. Halmahera Timur,Maluku Utara,58.03,49.23,46.43,2017
Kab. Kepulauan Sula,Maluku Utara,65.45,54.79,56.53,2017
Kab. Kepulauan Morotai,Maluku Utara,50.24,43.61,45.13,2017
Kota Ternate,Maluku Utara,46.88,43.17,37.78,2017
Kota Tidore Kepulauan,Maluku Utara,59.06,56.33,56.18,2017
Prov. Banten,Banten,47.42,51.02,44.07,2017
Kab. Pandeglang,Banten,44.08,42.92,39.43,2017
Kab. Lebak,Banten,40.86,42.49,40.54,2017
Kab. Tangerang,Banten,47.16,49.56,43.59,2017
Kab. Serang,Banten,43.22,42.51,38.69,2017
Kota Cilegon,Banten,48.54,49.4,41.74,2017
Kota Tangerang,Banten,53.88,57.89,50.49,2017
Kota Serang,Banten,44.76,51.3,44.11,2017
Kota Tangerang Selatan,Banten,57.07,64.84,57.11,2017
Prov. Bangka Belitung,Bangka Belitung,50.13,52.93,49.19,2017
Kab. Bangka,Bangka Belitung,49.15,54.69,49.6,2017
Kab. Belitung,Bangka Belitung,50.56,52.11,50.33,2017
Kab. Bangka Tengah,Bangka Belitung,48.34,50.95,48.15,2017
Kab. Bangka Barat,Bangka Belitung,47.35,50.0,46.52,2017
Kab. Bangka Selatan,Bangka Belitung,46.86,44.15,43.24,2017
Kab. Belitung Timur,Bangka Belitung,52.05,56.06,50.94,2017
Kota Pangkalpinang,Bangka Belitung,56.69,58.98,53.0,2017
Prov. Gorontalo,Gorontalo,52.08,48.04,42.12,2017
Kab. Boalemo,Gorontalo,49.28,43.4,39.14,2017
Kab. Gorontalo,Gorontalo,56.0,44.02,39.55,2017
Kab. Pohuwato,Gorontalo,43.18,46.21,44.83,2017
Kab. Bone Bolango,Gorontalo,56.68,52.2,46.64,2017
Kab. Gorontalo Utara,Gorontalo,59.48,42.47,39.92,2017
Kota Gorontalo,Gorontalo,46.23,56.45,46.0,2017
Prov. Kepulauan Riau,Kepulauan Riau,53.24,57.67,51.23,2017
Kab. Bintan,Kepulauan Riau,51.55,53.35,47.03,2017
Kab. Karimun,Kepulauan Riau,49.71,54.57,49.53,2017
Kab. Natuna,Kepulauan Riau,45.09,44.9,43.17,2017
Kab. Lingga,Kepulauan Riau,46.72,47.64,42.33,2017
Kab. Kepulauan Anambas,Kepulauan Riau,48.53,40.82,41.4,2017
Kota Batam,Kepulauan Riau,55.74,64.77,57.46,2017
Kota Tanjungpinang,Kepulauan Riau,54.87,58.8,50.77,2017
Prov. Papua Barat,Papua Barat,58.88,48.34,46.81,2017
Kab. Fakfak,Papua Barat,63.62,55.15,52.97,2017
Kab. Kaimana,Papua Barat,44.41,37.99,33.07,2017
Kab. Teluk Wondama,Papua Barat,60.95,52.09,50.52,2017
Kab. Teluk Bintuni,Papua Barat,59.23,50.36,53.04,2017
Kab. Manokwari,Papua Barat,62.67,48.68,46.64,2017
Kab. Sorong Selatan,Papua Barat,63.51,38.64,43.44,2017
Kab. Sorong,Papua Barat,54.94,53.13,50.13,2017
Kab. Raja Ampat,Papua Barat,63.88,49.35,57.21,2017
Kab. Tambrauw,Papua Barat,55.54,46.94,44.44,2017
Kab. Maybrat,Papua Barat,65.4,50.82,55.21,2017
Kab. Pegunungan Arfak,Papua Barat,62.72,42.5,61.84,2017
Kab. Manokwari Selatan,Papua Barat,60.89,30.98,35.85,2017
Kota Sorong,Papua Barat,55.8,46.26,41.64,2017
Prov. Sulawesi Barat,Sulawesi Barat,47.16,41.45,38.83,2017
Kab. Mamuju,Sulawesi Barat,44.0,40.3,37.59,2017
Kab. Pasangkayu,Sulawesi Barat,47.96,38.95,37.31,2017
Kab. Polewali Mandar,Sulawesi Barat,47.95,41.99,38.91,2017
Kab. Mamasa,Sulawesi Barat,58.53,45.59,46.4,2017
Kab. Majene,Sulawesi Barat,41.27,43.12,38.41,2017
Kab. Mamuju Tengah,Sulawesi Barat,41.67,39.02,36.61,2017
Prov. Kalimantan Utara,Kalimantan Utara,49.15,47.15,44.14,2017
Kab. Malinau,Kalimantan Utara,48.45,42.75,39.71,2017
Kab. Bulungan,Kalimantan Utara,49.33,46.39,43.58,2017
Kab. Tana Tidung,Kalimantan Utara,45.05,45.62,45.82,2017
Kab. Nunukan,Kalimantan Utara,47.95,45.8,42.79,2017
Prov. D.K.I. Jakarta,D.K.I. Jakarta,57.98,64.2,59.81,2018
Kab. Kepulauan Seribu,D.K.I. Jakarta,43.16,0.0,0.0,2018
Kota Jakarta Pusat,D.K.I. Jakarta,57.39,65.84,60.21,2018
Kota Jakarta Utara,D.K.I. Jakarta,55.82,62.33,58.65,2018
Kota Jakarta Barat,D.K.I. Jakarta,56.03,64.99,59.49,2018
Kota Jakarta Selatan,D.K.I. Jakarta,59.95,65.06,60.75,2018
Kota Jakarta Timur,D.K.I. Jakarta,59.19,63.32,59.72,2018
Prov. Jawa Barat,Jawa Barat,52.92,51.08,46.21,2018
Kab. Bogor,Jawa Barat,51.71,49.43,45.49,2018
Kab. Sukabumi,Jawa Barat,61.37,48.2,43.62,2018
Kab. Cianjur,Jawa Barat,56.06,45.98,41.48,2018
Kab. Bandung,Jawa Barat,49.02,48.07,43.57,2018
Kab. Sumedang,Jawa Barat,49.47,50.44,47.52,2018
Kab. Garut,Jawa Barat,44.38,45.22,42.97,2018
Kab. Tasikmalaya,Jawa Barat,56.24,47.8,45.11,2018
Kab. Ciamis,Jawa Barat,49.79,49.28,46.04,2018
Kab. Kuningan,Jawa Barat,48.26,51.64,47.69,2018
Kab. Majalengka,Jawa Barat,48.56,50.86,46.44,2018
Kab. Cirebon,Jawa Barat,46.16,45.69,44.27,2018
Kab. Indramayu,Jawa Barat,43.94,46.59,42.29,2018
Kab. Subang,Jawa Barat,53.26,47.81,44.19,2018
Kab. Purwakarta,Jawa Barat,45.8,47.6,43.6,2018
Kab. Karawang,Jawa Barat,63.68,44.8,42.23,2018
Kab. Bekasi,Jawa Barat,49.65,47.83,44.34,2018
Kab. Bandung Barat,Jawa Barat,60.35,47.69,44.0,2018
Kab. Pangandaran,Jawa Barat,45.68,45.25,42.63,2018
Kota Bandung,Jawa Barat,57.02,60.23,52.6,2018
Kota Bogor,Jawa Barat,55.77,60.9,53.67,2018
Kota Sukabumi,Jawa Barat,50.99,53.37,47.17,2018
Kota Cirebon,Jawa Barat,59.35,56.16,48.38,2018
Kota Bekasi,Jawa Barat,60.17,60.1,55.1,2018
Kota Depok,Jawa Barat,53.32,58.73,53.42,2018
Kota Cimahi,Jawa Barat,56.37,59.98,51.47,2018
Kota Tasikmalaya,Jawa Barat,60.1,55.13,51.27,2018
Kota Banjar,Jawa Barat,48.17,49.22,47.03,2018
Prov. Jawa Tengah,Jawa Tengah,54.3,58.0,52.69,2018
Kab. Cilacap,Jawa Tengah,53.65,56.97,53.36,2018
Kab. Banyumas,Jawa Tengah,55.58,59.98,56.39,2018
Kab. Purbalingga,Jawa Tengah,55.66,62.61,56.39,2018
Kab. Banjarnegara,Jawa Tengah,52.58,57.8,52.67,2018
Kab. Kebumen,Jawa Tengah,58.38,60.8,56.14,2018
Kab. Purworejo,Jawa Tengah,58.01,62.81,56.95,2018
Kab. Wonosobo,Jawa Tengah,56.24,57.19,54.8,2018
Kab. Magelang,Jawa Tengah,59.8,62.44,55.99,2018
Kab. Boyolali,Jawa Tengah,55.15,57.4,52.44,2018
Kab. Klaten,Jawa Tengah,58.08,59.75,54.26,2018
Kab. Sukoharjo,Jawa Tengah,58.5,59.47,60.01,2018
Kab. Wonogiri,Jawa Tengah,56.03,60.3,54.97,2018
Kab. Karanganyar,Jawa Tengah,56.08,59.69,56.47,2018
Kab. Sragen,Jawa Tengah,53.23,58.69,51.77,2018
Kab. Grobogan,Jawa Tengah,48.05,51.15,45.73,2018
Kab. Blora,Jawa Tengah,51.96,53.44,51.34,2018
Kab. Rembang,Jawa Tengah,53.95,57.28,49.8,2018
Kab. Pati,Jawa Tengah,54.6,56.61,49.1,2018
Kab. Kudus,Jawa Tengah,55.97,60.43,51.6,2018
Kab. Jepara,Jawa Tengah,53.07,54.83,50.15,2018
Kab. Demak,Jawa Tengah,47.23,48.92,44.66,2018
Kab. Semarang,Jawa Tengah,55.66,59.75,53.68,2018
Kab. Temanggung,Jawa Tengah,57.9,58.96,55.06,2018
Kab. Kendal,Jawa Tengah,50.52,54.62,49.51,2018
Kab. Batang,Jawa Tengah,52.47,56.56,50.49,2018
Kab. Pekalongan,Jawa Tengah,53.11,56.22,51.99,2018
Kab. Pemalang,Jawa Tengah,48.77,52.94,50.03,2018
Kab. Tegal,Jawa Tengah,48.9,53.56,50.27,2018
Kab. Brebes,Jawa Tengah,45.38,50.35,46.2,2018
Kota Magelang,Jawa Tengah,66.78,67.6,63.91,2018
Kota Surakarta,Jawa Tengah,63.71,68.3,61.97,2018
Kota Salatiga,Jawa Tengah,67.88,67.6,62.38,2018
Kota Semarang,Jawa Tengah,60.62,62.18,56.83,2018
Kota Pekalongan,Jawa Tengah,57.47,62.6,55.76,2018
Kota Tegal,Jawa Tengah,56.91,58.96,58.04,2018
Prov. D.I. Yogyakarta,D.I. Yogyakarta,62.46,62.77,58.65,2018
Kab. Bantul,D.I. Yogyakarta,62.51,60.61,59.09,2018
Kab. Sleman,D.I. Yogyakarta,64.13,61.25,60.06,2018
Kab. Gunung Kidul,D.I. Yogyakarta,56.26,58.53,53.88,2018
Kab. Kulon Progo,D.I. Yogyakarta,60.4,60.08,56.26,2018
Kota Yogyakarta,D.I. Yogyakarta,68.39,66.93,60.58,2018
Prov. Jawa Timur,Jawa Timur,52.71,55.96,47.38,2018
Kab. Gresik,Jawa Timur,55.55,57.81,50.37,2018
Kab. Sidoarjo,Jawa Timur,57.16,62.13,53.03,2018
Kab. Mojokerto,Jawa Timur,52.65,58.27,50.02,2018
Kab. Jombang,Jawa Timur,53.31,56.15,49.68,2018
Kab. Bojonegoro,Jawa Timur,51.16,51.06,45.86,2018
Kab. Tuban,Jawa Timur,52.86,55.56,47.81,2018
Kab. Lamongan,Jawa Timur,55.38,51.97,45.59,2018
Kab. Madiun,Jawa Timur,54.36,56.17,51.09,2018
Kab. Ngawi,Jawa Timur,52.28,54.98,48.69,2018
Kab. Magetan,Jawa Timur,53.83,58.47,50.62,2018
Kab. Ponorogo,Jawa Timur,54.28,55.77,49.95,2018
Kab. Pacitan,Jawa Timur,52.99,56.5,49.39,2018
Kab. Kediri,Jawa Timur,53.87,54.73,49.78,2018
Kab. Nganjuk,Jawa Timur,52.48,54.44,48.58,2018
Kab. Blitar,Jawa Timur,54.18,58.04,52.09,2018
Kab. Tulungagung,Jawa Timur,58.43,63.41,54.56,2018
Kab. Trenggalek,Jawa Timur,54.01,59.72,53.57,2018
Kab. Malang,Jawa Timur,52.79,54.62,48.76,2018
Kab. Pasuruan,Jawa Timur,55.08,54.9,46.49,2018
Kab. Probolinggo,Jawa Timur,45.28,48.07,40.33,2018
Kab. Lumajang,Jawa Timur,48.53,52.94,44.37,2018
Kab. Bondowoso,Jawa Timur,44.32,50.58,40.78,2018
Kab. Situbondo,Jawa Timur,46.46,48.56,42.02,2018
Kab. Jember,Jawa Timur,47.15,52.22,44.24,2018
Kab. Banyuwangi,Jawa Timur,51.96,55.49,48.37,2018
Kab. Pamekasan,Jawa Timur,43.3,44.0,37.68,2018
Kab. Sampang,Jawa Timur,41.02,41.88,37.39,2018
Kab. Sumenep,Jawa Timur,46.24,44.12,40.28,2018
Kab. Bangkalan,Jawa Timur,47.16,49.3,41.66,2018
Kota Surabaya,Jawa Timur,58.99,62.11,55.56,2018
Kota Malang,Jawa Timur,62.31,65.52,59.43,2018
Kota Madiun,Jawa Timur,62.33,62.17,56.55,2018
Kota Kediri,Jawa Timur,60.39,64.13,53.89,2018
Kota Mojokerto,Jawa Timur,59.13,59.08,53.48,2018
Kota Blitar,Jawa Timur,61.25,58.87,52.86,2018
Kota Pasuruan,Jawa Timur,55.13,58.68,50.2,2018
Kota Probolinggo,Jawa Timur,53.29,57.64,47.12,2018
Kota Batu,Jawa Timur,58.23,58.9,55.38,2018
Prov. Aceh,Aceh,42.81,40.12,37.27,2018
Kab. Aceh Besar,Aceh,42.39,41.88,36.3,2018
Kab. Pidie,Aceh,39.46,37.44,34.69,2018
Kab. Aceh Utara,Aceh,43.46,37.81,36.73,2018
Kab. Aceh Timur,Aceh,39.74,36.16,35.64,2018
Kab. Aceh Tengah,Aceh,53.09,42.93,39.95,2018
Kab. Aceh Barat,Aceh,42.23,40.33,36.92,2018
Kab. Aceh Selatan,Aceh,44.17,41.65,38.98,2018
Kab. Aceh Tenggara,Aceh,37.56,36.81,34.36,2018
Kab. Simeulue,Aceh,43.14,38.93,37.2,2018
Kab. Bireuen,Aceh,39.9,37.68,35.01,2018
Kab. Aceh Singkil,Aceh,42.77,39.04,39.16,2018
Kab. Aceh Tamiang,Aceh,43.14,40.44,39.27,2018
Kab. Nagan Raya,Aceh,41.98,35.92,34.54,2018
Kab. Aceh Jaya,Aceh,50.86,41.24,40.9,2018
Kab. Aceh Barat Daya,Aceh,41.04,38.77,35.14,2018
Kab. Gayo Lues,Aceh,39.0,35.86,35.68,2018
Kab. Bener Meriah,Aceh,42.35,38.59,37.66,2018
Kab. Pidie Jaya,Aceh,43.08,41.33,32.56,2018
Kota Sabang,Aceh,44.97,43.0,37.83,2018
Kota Banda Aceh,Aceh,51.7,49.85,44.51,2018
Kota Lhokseumawe,Aceh,44.18,43.2,39.74,2018
Kota Langsa,Aceh,44.92,43.83,37.52,2018
Kota Subulussalam,Aceh,40.58,42.18,37.98,2018
Prov. Sumatera Utara,Sumatera Utara,48.23,46.82,43.14,2018
Kab. Deli Serdang,Sumatera Utara,49.4,45.98,42.16,2018
Kab. Langkat,Sumatera Utara,41.27,43.31,42.69,2018
Kab. Karo,Sumatera Utara,45.08,50.99,49.76,2018
Kab. Simalungun,Sumatera Utara,49.12,44.61,41.61,2018
Kab. Dairi,Sumatera Utara,48.97,47.98,45.06,2018
Kab. Asahan,Sumatera Utara,42.07,40.87,39.36,2018
Kab. Labuhanbatu,Sumatera Utara,65.76,43.82,41.35,2018
Kab. Tapanuli Utara,Sumatera Utara,40.38,44.92,41.98,2018
Kab. Tapanuli Tengah,Sumatera Utara,44.92,47.97,38.51,2018
Kab. Tapanuli Selatan,Sumatera Utara,54.38,44.46,41.65,2018
Kab. Nias,Sumatera Utara,50.83,35.52,34.73,2018
Kab. Mandailing Natal,Sumatera Utara,44.31,47.39,47.95,2018
Kab. Toba Samosir,Sumatera Utara,47.15,52.44,46.67,2018
Kab. Nias Selatan,Sumatera Utara,48.11,45.0,43.82,2018
Kab. Pakpak Bharat,Sumatera Utara,43.68,46.01,43.42,2018
Kab. Humbang Hasundutan,Sumatera Utara,44.57,44.88,41.59,2018
Kab. Samosir,Sumatera Utara,46.17,49.75,46.72,2018
Kab. Serdang Bedagai,Sumatera Utara,42.72,39.36,38.79,2018
Kab. Batu Bara,Sumatera Utara,40.66,38.98,37.64,2018
Kab. Padang Lawas utara,Sumatera Utara,47.13,36.16,39.89,2018
Kab. Padang Lawas,Sumatera Utara,43.42,41.11,39.31,2018
Kab. Labuhanbatu Utara,Sumatera Utara,46.98,42.19,38.84,2018
Kab. Labuhanbatu Selatan,Sumatera Utara,46.43,39.12,39.58,2018
Kab. Nias Barat,Sumatera Utara,49.73,41.95,42.97,2018
Kab. Nias Utara,Sumatera Utara,43.32,40.3,38.92,2018
Kota Medan,Sumatera Utara,54.76,53.67,46.98,2018
Kota Binjai,Sumatera Utara,46.71,46.51,43.77,2018
Kota Tebing Tinggi,Sumatera Utara,51.13,47.4,42.67,2018
Kota Pematangsiantar,Sumatera Utara,50.5,53.7,48.56,2018
Kota Tanjungbalai,Sumatera Utara,45.15,41.95,38.52,2018
Kota Sibolga,Sumatera Utara,47.52,48.51,43.25,2018
Kota Padang Sidempuan,Sumatera Utara,54.52,45.49,40.66,2018
Kota Gunungsitoli,Sumatera Utara,44.09,46.33,42.5,2018
Prov. Sumatera Barat,Sumatera Barat,52.41,53.05,46.14,2018
Kab. Agam,Sumatera Barat,51.92,56.23,47.85,2018
Kab. Pasaman,Sumatera Barat,48.05,49.06,44.13,2018
Kab. Limapuluh Kota,Sumatera Barat,52.41,52.09,46.84,2018
